"Name","scanSplit","Encoder_Validation_R2","noDecoder","allScans"
"scansFINALSWEEP_ND_50_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","50","0.819192640782674","true","true"
"scansFINALSWEEP_ND_50_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","50","0.8593565228286923","true","true"
"scansFINALSWEEP_annNOVAL_40_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","40","0.8804272862222287","false","false"
"scansFINALSWEEP_ND_40_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","40","0.8750760856027736","true","true"
"scansFINALSWEEP_annVAL_40_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","40","0.8812984233840565","false","true"
"scansFINALSWEEP_annVAL_40_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS123","40","0.8670458571654209","false","true"
"scansFINALSWEEP_ND_40_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","40","0.8749997073438187","true","true"
"scansFINALSWEEP_annNOVAL_40_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","40","0.8563808701187214","false","false"
"scansFINALSWEEP_ND_40_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","40","0.826634978113444","true","true"
"scansFINALSWEEP_annVAL_40_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","40","0.8698291898593176","false","true"
"scansFINALSWEEP_annNOVAL_40_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","40","0.8033832627883907","false","false"
"scansFINALSWEEP_ND_40_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","40","0.8391834408589202","true","true"
"scansFINALSWEEP_ND_40_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","40","0.8731092707245086","true","true"
"scansFINALSWEEP_ND_40_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","40","0.8514541644365355","true","true"
"scansFINALSWEEP_ND_30_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS192043","30","0.8529489137048936","true","true"
"scansFINALSWEEP_ND_30_lr5e-05_hl1517_bs75_seed123_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS123","30","0.8842433887647213","true","true"
"scansFINALSWEEP_ND_30_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDTrue_dRFalse_dMFalse_ffTrue_rS42","30","0.8709183428825741","true","true"
"scansFINALSWEEP_annNOVAL_30_lr5e-05_hl1517_bs75_seed42_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS42","30","0.7974165651140606","false","false"
"scansFINALSWEEP_annNOVAL_30_lr5e-05_hl1517_bs75_seed192043_s_-1_-1_nDFalse_dRFalse_dMTrue_ffTrue_rS192043","30","0.8927673780606786","false","false"
